Time,Balancing reserves
08/01/16 21:25,77
08/01/16 21:30,84
08/01/16 21:35,72
08/01/16 21:40,-489
08/01/16 21:45,-422
08/01/16 21:50,-444
08/01/16 21:55,-334
08/01/16 22:00,-233
08/01/16 22:05,-209
08/01/16 22:10,-186
08/01/16 22:15,-217
08/01/16 22:20,-243
08/01/16 22:25,-292
08/01/16 22:30,-233
08/01/16 22:35,-209
08/01/16 22:40,-230
08/01/16 22:45,-222
08/01/16 22:50,-692
08/01/16 22:55,-593
08/01/16 23:00,-333
08/01/16 23:05,-316
08/01/16 23:10,115
08/01/16 23:15,63
08/01/16 23:20,90
08/01/16 23:25,122
08/01/16 23:30,131
08/01/16 23:35,-325
08/01/16 23:40,-344
08/01/16 23:45,-312
08/01/16 23:50,-347
08/01/16 23:55,-296
